α,BaseStock,AvgTotalCost,AvgTotalInvLvl,AvgTotalStockout,AvgTotalDemand,β,AvgInvCost,AvgBkCost,AvgLSCost,AvgProdCost,AvgPowderCost,AvgInvLvl,AvgBkLvl,AvgLsLvl,TotalCount
0.05,"(1, 2, 2, 0)",46.49,13.47,1.5,6.0,0.75,"(3.42, 4.04, 3.82, 2.19)","(0.93, 2.32, 2.67, 1.39)","(0.0, 0.0, 0.0, 0.0)",5.53,20.18,"(3.42, 4.04, 3.82, 2.19)","(0.19, 0.23, 0.18, 0.07)","(0.0, 0.0, 0.0, 0.0)",804966
0.1,"(1, 3, 2, 0)",46.46,14.43,1.31,6.0,0.78,"(3.43, 4.98, 3.82, 2.2)","(0.97, 1.25, 2.84, 1.36)","(0.0, 0.0, 0.0, 0.0)",5.56,20.05,"(3.43, 4.98, 3.82, 2.2)","(0.19, 0.13, 0.19, 0.07)","(0.0, 0.0, 0.0, 0.0)",797193
0.2,"(2, 3, 3, 0)",40.5,15.26,1.26,6.0,0.79,"(3.93, 4.63, 4.57, 2.14)","(0.84, 1.63, 1.19, 1.79)","(0.0, 0.0, 0.0, 0.0)",4.38,15.41,"(3.93, 4.63, 4.57, 2.14)","(0.17, 0.16, 0.08, 0.09)","(0.0, 0.0, 0.0, 0.0)",710487
0.3,"(2, 4, 3, 1)",36.82,16.81,1.09,6.0,0.82,"(3.79, 5.64, 4.47, 2.91)","(0.96, 0.45, 1.41, 2.01)","(0.0, 0.0, 0.0, 0.0)",3.23,11.95,"(3.79, 5.64, 4.47, 2.91)","(0.19, 0.04, 0.09, 0.1)","(0.0, 0.0, 0.0, 0.0)",254528
0.4,"(3, 4, 3, 1)",36.13,17.89,0.91,6.0,0.85,"(4.84, 5.65, 4.51, 2.89)","(0.43, 0.49, 1.33, 2.07)","(0.0, 0.0, 0.0, 0.0)",3.05,10.87,"(4.84, 5.65, 4.51, 2.89)","(0.09, 0.05, 0.09, 0.1)","(0.0, 0.0, 0.0, 0.0)",216316
0.5,"(3, 4, 4, 1)",33.57,18.45,0.85,6.0,0.86,"(4.74, 5.19, 5.71, 2.8)","(0.48, 0.78, 0.18, 2.35)","(0.0, 0.0, 0.0, 0.0)",2.41,8.93,"(4.74, 5.19, 5.71, 2.8)","(0.1, 0.08, 0.01, 0.12)","(0.0, 0.0, 0.0, 0.0)",194795
0.6,"(3, 5, 4, 1)",33.22,20.14,0.66,6.0,0.89,"(4.75, 6.94, 5.68, 2.77)","(0.5, 0.0, 0.26, 2.46)","(0.0, 0.0, 0.0, 0.0)",2.22,7.63,"(4.75, 6.94, 5.68, 2.77)","(0.1, 0.0, 0.02, 0.12)","(0.0, 0.0, 0.0, 0.0)",189478
0.7,"(4, 5, 4, 2)",30.92,23.36,0.38,6.0,0.94,"(6.58, 6.91, 5.7, 4.18)","(0.11, 0.0, 0.09, 0.81)","(0.0, 0.0, 0.0, 0.0)",1.57,4.98,"(6.58, 6.91, 5.7, 4.18)","(0.02, 0.0, 0.01, 0.04)","(0.0, 0.0, 0.0, 0.0)",42767
0.8,"(4, 5, 5, 2)",30.56,25.27,0.31,6.0,0.95,"(6.67, 6.65, 7.82, 4.13)","(0.11, 0.0, 0.0, 0.89)","(0.0, 0.0, 0.0, 0.0)",0.92,3.38,"(6.67, 6.65, 7.82, 4.13)","(0.02, 0.0, 0.0, 0.04)","(0.0, 0.0, 0.0, 0.0)",36600
0.9,"(5, 6, 5, 2)",33.36,30.71,0.14,6.0,0.98,"(9.17, 9.6, 7.82, 4.12)","(0.0, 0.0, 0.0, 0.89)","(0.0, 0.0, 0.0, 0.0)",0.44,1.32,"(9.17, 9.6, 7.82, 4.12)","(0.0, 0.0, 0.0, 0.04)","(0.0, 0.0, 0.0, 0.0)",33932
0.95,"(5, 6, 5, 3)",34.68,33.25,0.07,6.0,0.99,"(9.19, 9.6, 7.81, 6.66)","(0.0, 0.0, 0.0, 0.13)","(0.0, 0.0, 0.0, 0.0)",0.27,1.03,"(9.19, 9.6, 7.81, 6.66)","(0.0, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",2541
0.99,"(6, 6, 6, 4)",42.01,42.0,0.0,6.0,1.0,"(11.99, 9.6, 10.81, 9.6)","(0.0, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",0.0,0.0,"(11.99, 9.6, 10.81, 9.6)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
0.999,"(6, 6, 6, 5)",45.0,45.0,0.0,6.0,1.0,"(11.99, 9.6, 10.81, 12.6)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0.0,0.0,"(11.99, 9.6, 10.81, 12.6)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
