α,BaseStock,AvgTotalCost,AvgTotalInvLvl,AvgTotalStockout,AvgTotalDemand,β,AvgInvCost,AvgBkCost,AvgLSCost,AvgProdCost,AvgPowderCost,AvgInvLvl,AvgBkLvl,AvgLsLvl,TotalCount
0.05,"(2, 5, 3, 0)",76.86,30.27,2.33,10.0,0.77,"(5.97, 9.87, 9.31, 5.13)","(3.24, 1.76, 1.12, 4.09)","(1.1, 0.03, 0.0, 0.02)",9.05,26.18,"(5.97, 9.87, 9.31, 5.13)","(0.65, 0.18, 0.07, 0.2)","(0.02, 0.0, 0.0, 0.0)",759407
0.1,"(3, 5, 4, 0)",71.72,31.91,2.14,10.0,0.79,"(6.55, 9.92, 10.11, 5.33)","(2.58, 1.57, 0.5, 3.51)","(0.44, 0.01, 0.0, 0.0)",8.05,23.14,"(6.55, 9.92, 10.11, 5.33)","(0.52, 0.16, 0.03, 0.18)","(0.01, 0.0, 0.0, 0.0)",752698
0.2,"(4, 6, 5, 1)",62.88,35.62,1.76,10.0,0.82,"(7.35, 10.45, 10.95, 6.87)","(1.92, 1.53, 0.14, 2.21)","(0.23, 0.0, 0.0, 0.0)",5.62,15.62,"(7.35, 10.45, 10.95, 6.87)","(0.38, 0.15, 0.01, 0.11)","(0.0, 0.0, 0.0, 0.0)",427001
0.3,"(4, 6, 5, 1)",62.88,35.62,1.76,10.0,0.82,"(7.35, 10.45, 10.95, 6.87)","(1.92, 1.53, 0.14, 2.21)","(0.23, 0.0, 0.0, 0.0)",5.62,15.62,"(7.35, 10.45, 10.95, 6.87)","(0.38, 0.15, 0.01, 0.11)","(0.0, 0.0, 0.0, 0.0)",427001
0.4,"(5, 7, 6, 2)",56.05,41.53,1.24,10.0,0.88,"(9.43, 12.04, 12.49, 7.57)","(1.12, 1.17, 0.06, 1.67)","(0.12, 0.0, 0.0, 0.0)",2.89,7.49,"(9.43, 12.04, 12.49, 7.57)","(0.22, 0.12, 0.0, 0.08)","(0.0, 0.0, 0.0, 0.0)",128220
0.5,"(5, 7, 6, 2)",56.05,41.53,1.24,10.0,0.88,"(9.43, 12.04, 12.49, 7.57)","(1.12, 1.17, 0.06, 1.67)","(0.12, 0.0, 0.0, 0.0)",2.89,7.49,"(9.43, 12.04, 12.49, 7.57)","(0.22, 0.12, 0.0, 0.08)","(0.0, 0.0, 0.0, 0.0)",128220
0.6,"(5, 7, 6, 2)",56.05,41.53,1.24,10.0,0.88,"(9.43, 12.04, 12.49, 7.57)","(1.12, 1.17, 0.06, 1.67)","(0.12, 0.0, 0.0, 0.0)",2.89,7.49,"(9.43, 12.04, 12.49, 7.57)","(0.22, 0.12, 0.0, 0.08)","(0.0, 0.0, 0.0, 0.0)",128220
0.7,"(6, 8, 7, 3)",58.1,53.2,0.59,10.0,0.94,"(12.98, 15.55, 15.21, 9.46)","(0.43, 0.4, 0.01, 0.9)","(0.03, 0.0, 0.0, 0.0)",0.95,2.19,"(12.98, 15.55, 15.21, 9.46)","(0.09, 0.04, 0.0, 0.05)","(0.0, 0.0, 0.0, 0.0)",31702
0.8,"(6, 8, 7, 3)",58.1,53.2,0.59,10.0,0.94,"(12.98, 15.55, 15.21, 9.46)","(0.43, 0.4, 0.01, 0.9)","(0.03, 0.0, 0.0, 0.0)",0.95,2.19,"(12.98, 15.55, 15.21, 9.46)","(0.09, 0.04, 0.0, 0.05)","(0.0, 0.0, 0.0, 0.0)",31702
0.9,"(7, 9, 8, 4)",71.51,70.54,0.16,10.0,0.98,"(17.54, 20.51, 19.2, 13.29)","(0.1, 0.0, 0.0, 0.28)","(0.0, 0.0, 0.0, 0.0)",0.19,0.41,"(17.54, 20.51, 19.2, 13.29)","(0.02, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",4243
0.95,"(8, 9, 8, 4)",76.27,75.47,0.11,10.0,0.99,"(22.48, 20.51, 19.2, 13.29)","(0.01, 0.0, 0.0, 0.28)","(0.0, 0.0, 0.0, 0.0)",0.17,0.34,"(22.48, 20.51, 19.2, 13.29)","(0.0, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",4243
0.99,"(9, 10, 9, 5)",95.14,95.03,0.01,10.0,1.0,"(27.47, 25.51, 24.02, 18.03)","(0.0, 0.0, 0.0, 0.06)","(0.0, 0.0, 0.0, 0.0)",0.02,0.03,"(27.47, 25.51, 24.02, 18.03)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",245
0.999,"(9, 10, 10, 6)",105.0,105.0,0.0,10.0,1.0,"(27.47, 25.51, 29.02, 22.99)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0.0,0.0,"(27.47, 25.51, 29.02, 22.99)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
