α,BaseStock,AvgTotalCost,AvgTotalInvLvl,AvgTotalStockout,AvgTotalDemand,β,AvgInvCost,AvgBkCost,AvgLSCost,AvgProdCost,AvgPowderCost,AvgInvLvl,AvgBkLvl,AvgLsLvl,TotalCount
0.05,"(4, 7, 5, 1)",122.19,37.72,3.96,14.0,0.72,"(7.21, 12.03, 12.5, 5.99)","(6.32, 3.82, 1.8, 8.41)","(4.19, 0.0, 0.18, 0.3)",14.42,45.03,"(7.21, 12.03, 12.5, 5.99)","(1.26, 0.38, 0.12, 0.42)","(0.08, 0.0, 0.0, 0.01)",142719
0.1,"(5, 8, 6, 1)",113.41,43.71,3.3,14.0,0.76,"(9.16, 14.35, 14.21, 5.99)","(4.71, 3.17, 0.95, 8.41)","(2.86, 0.0, 0.02, 0.3)",12.49,36.78,"(9.16, 14.35, 14.21, 5.99)","(0.94, 0.32, 0.06, 0.42)","(0.06, 0.0, 0.0, 0.01)",135658
0.2,"(5, 8, 7, 2)",109.18,48.14,3.05,14.0,0.78,"(9.16, 14.35, 16.46, 8.17)","(4.71, 3.17, 0.63, 5.25)","(2.86, 0.0, 0.0, 0.15)",10.83,33.45,"(9.16, 14.35, 16.46, 8.17)","(0.94, 0.32, 0.04, 0.26)","(0.06, 0.0, 0.0, 0.0)",69154
0.3,"(6, 9, 7, 2)",101.76,54.35,2.46,14.0,0.82,"(12.0, 17.72, 16.46, 8.17)","(3.4, 2.3, 0.63, 5.25)","(2.0, 0.0, 0.0, 0.15)",8.94,24.74,"(12.0, 17.72, 16.46, 8.17)","(0.68, 0.23, 0.04, 0.26)","(0.04, 0.0, 0.0, 0.0)",67898
0.4,"(7, 9, 8, 2)",99.6,61.62,2.01,14.0,0.86,"(16.2, 17.72, 19.53, 8.17)","(2.08, 2.3, 0.44, 5.25)","(1.2, 0.0, 0.0, 0.15)",7.22,19.35,"(16.2, 17.72, 19.53, 8.17)","(0.42, 0.23, 0.03, 0.26)","(0.02, 0.0, 0.0, 0.0)",67139
0.5,"(7, 10, 8, 3)",95.88,69.32,1.58,14.0,0.89,"(16.2, 22.38, 19.53, 11.22)","(2.08, 1.31, 0.44, 2.75)","(1.2, 0.0, 0.0, 0.05)",5.26,13.47,"(16.2, 22.38, 19.53, 11.22)","(0.42, 0.13, 0.03, 0.14)","(0.02, 0.0, 0.0, 0.0)",24209
0.6,"(7, 10, 9, 3)",97.02,73.49,1.45,14.0,0.9,"(16.2, 22.38, 23.7, 11.22)","(2.08, 1.31, 0.24, 2.75)","(1.2, 0.0, 0.0, 0.05)",4.32,11.58,"(16.2, 22.38, 23.7, 11.22)","(0.42, 0.13, 0.02, 0.14)","(0.02, 0.0, 0.0, 0.0)",24158
0.7,"(8, 11, 9, 4)",100.86,89.4,0.81,14.0,0.94,"(21.71, 28.29, 23.7, 15.69)","(0.98, 0.5, 0.24, 1.16)","(0.52, 0.0, 0.0, 0.01)",2.43,5.63,"(21.71, 28.29, 23.7, 15.69)","(0.2, 0.05, 0.02, 0.06)","(0.01, 0.0, 0.0, 0.0)",5883
0.8,"(9, 11, 10, 4)",108.21,101.13,0.52,14.0,0.96,"(28.13, 28.29, 29.01, 15.69)","(0.33, 0.5, 0.09, 1.16)","(0.16, 0.0, 0.0, 0.01)",1.49,3.34,"(28.13, 28.29, 29.01, 15.69)","(0.07, 0.05, 0.01, 0.06)","(0.0, 0.0, 0.0, 0.0)",5878
0.9,"(9, 12, 11, 5)",122.38,119.93,0.25,14.0,0.98,"(28.13, 35.02, 35.27, 21.5)","(0.33, 0.1, 0.02, 0.39)","(0.16, 0.0, 0.0, 0.0)",0.45,1.01,"(28.13, 35.02, 35.27, 21.5)","(0.07, 0.01, 0.0, 0.02)","(0.0, 0.0, 0.0, 0.0)",961
0.95,"(10, 12, 11, 5)",128.6,126.78,0.16,14.0,0.99,"(34.98, 35.02, 35.27, 21.5)","(0.08, 0.1, 0.02, 0.39)","(0.03, 0.0, 0.0, 0.0)",0.4,0.82,"(34.98, 35.02, 35.27, 21.5)","(0.02, 0.01, 0.0, 0.02)","(0.0, 0.0, 0.0, 0.0)",961
0.99,"(11, 13, 12, 7)",161.15,161.04,0.02,14.0,1.0,"(41.96, 42.01, 42.06, 35.01)","(0.01, 0.0, 0.0, 0.02)","(0.0, 0.0, 0.0, 0.0)",0.03,0.06,"(41.96, 42.01, 42.06, 35.01)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
0.999,"(12, 14, 13, 8)",189.0,188.99,0.0,14.0,1.0,"(48.95, 49.01, 49.04, 41.99)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0.0,0.0,"(48.95, 49.01, 49.04, 41.99)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
