α,BaseStock,AvgTotalCost,AvgInvLvl,AvgStockout,AvgDemand,β,TotalCount
0.05,"(3, 6, 4, 0)",372.67,10.41,7.84,12.0,0.35,0
0.1,"(4, 6, 5, 1)",244.04,15.89,6.47,12.0,0.46,0
0.2,"(5, 7, 6, 1)",184.36,25.59,4.69,12.0,0.61,0
0.3,"(5, 8, 6, 2)",127.12,32.74,3.73,12.0,0.69,0
0.4,"(6, 8, 7, 2)",106.72,41.37,2.71,12.0,0.77,0
0.5,"(6, 8, 7, 2)",106.72,41.37,2.71,12.0,0.77,0
0.6,"(6, 9, 8, 3)",81.0,56.32,1.56,12.0,0.87,0
0.7,"(7, 9, 8, 3)",81.29,61.53,1.21,12.0,0.9,0
0.8,"(7, 10, 9, 4)",84.39,78.55,0.57,12.0,0.95,0
0.9,"(8, 10, 9, 4)",88.47,84.28,0.39,12.0,0.97,0
0.95,"(9, 11, 10, 5)",108.66,108.02,0.08,12.0,0.99,0
0.99,"(10, 12, 11, 6)",132.05,131.98,0.01,12.0,1.0,0
0.999,"(11, 12, 12, 7)",149.98,149.98,0.0,12.0,1.0,0
